,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
8336,Fuzz,0.000723,0.371,234880.0,0.449,0.868,0.203,-10.117,0.0263,74.958,0.385,50.0,7,1,2
8337,Fábio Jr.,0.209,0.522,261333.0,0.617,0.0,0.083,-10.211,0.0309,79.055,0.483,53.0,0,1,1
8338,Félix Mayol,0.955,0.6802500000000001,164363.5,0.2835,0.01105,0.2015,-14.205000000000002,0.1161999999999999,98.23,0.87725,0.0,5,1,8
8339,G Herbo,0.0973966666666666,0.7423333333333334,217556.66666666663,0.6573333333333333,0.0,0.175,-6.0088888888888885,0.2453333333333333,128.678,0.4316666666666665,60.44444444444444,1,1,9
8340,G-Clef Da Mad Komposa,0.282,0.789,208473.0,0.8009999999999999,0.586,0.0824,-6.433,0.0738,139.984,0.34,42.0,1,0,2
8341,G-DRAGON,0.183784,0.6708000000000001,226505.8,0.7246,0.0,0.13064,-5.362399999999999,0.065,122.787,0.5874,56.0,11,1,5
8342,G-Eazy,0.1267527595959596,0.6487575757575756,211921.2525252525,0.6653232323232321,0.0045318229292929,0.1638020202020202,-6.8535151515151504,0.1932383838383838,121.21818181818186,0.3604333333333334,57.54545454545455,7,1,99
8343,G-Nine,0.0198,0.7879999999999999,102867.0,0.747,0.0,0.386,-4.455,0.222,164.96,0.622,63.0,4,0,2
8344,G-Stack,0.0983,0.8270000000000001,227240.0,0.813,0.0,0.0413,-6.1,0.328,99.956,0.596,43.0,11,0,1
8345,G-Unit,0.1253464285714285,0.6927857142857144,211886.6785714285,0.7344285714285712,0.0,0.1437821428571428,-3.8993214285714286,0.3021571428571429,103.35010714285713,0.6926071428571428,51.92857142857143,11,0,28
8346,G. A. Chishti,0.98,0.627,183130.0,0.245,0.00912,0.127,-8.573,0.392,70.81,0.794,0.0,7,0,2
8347,G. Aggelopoulos,0.993,0.198,194973.0,0.377,0.263,0.105,-10.461,0.0367,82.05,0.157,0.0,9,1,2
8348,G. Botea,0.902,0.662,177084.0,0.278,5.95e-05,0.25,-12.154000000000002,0.0476,114.066,0.444,0.0,4,0,1
8349,G. Dep,0.126,0.7183333333333333,308449.0,0.8906666666666666,1.2366666666666668e-06,0.1968,-5.13,0.342,96.78966666666666,0.6793333333333335,39.66666666666666,10,0,6
8350,G. Gangone,0.944,0.535,186133.0,0.23,0.976,0.212,-17.352999999999998,0.0634,77.66,0.892,0.0,0,1,2
8351,G. I. Gurdjieff,0.9882272727272728,0.1973863636363635,414928.4545454545,0.1097772727272727,0.8112440909090908,0.2861227272727273,-20.18881818181817,0.0855772727272727,88.25759090909092,0.1147363636363636,1.1363636363636365,1,0,44
8352,G. Krishnaswami Iyengar,0.98,0.368,190640.0,0.224,0.341,0.348,-13.062,0.0764,81.539,0.7190000000000001,0.0,5,1,2
8353,G. Love & Special Sauce,0.300096,0.6835600000000001,238577.64,0.5992400000000002,0.001920752,0.1709599999999999,-8.838599999999998,0.11508,106.61915999999997,0.6794,43.24,11,1,25
8354,G. M. Durrani,0.9719026548672566,0.5757256637168141,197851.8672566372,0.2883628318584069,0.329492983539823,0.2559805309734513,-11.312061946902654,0.1566424778761062,109.8398407079646,0.7140707964601775,0.1061946902654867,1,1,113
